Ifrd1	5.2996	5.3865	9.2328	9.3461	12.846	12.6261	6.8207	6.2854
Ddt	12.1175	11.5359	13.0399	10.1248	10.6246	12.2819	12.2345	10.72
Ddx18	13.9114	13.0957	13.6058	14.5182	10.2574	11.0478	17.3596	16.2815
Ubl3	5.4297	5.6603	5.4685	6.2221	6.1404	5.3869	6.1746	6.4856
Eef1e1	12.0871	12.4837	12.8637	15.4556	16.7406	17.5482	12.0077	10.095
Akt1	19.0258	18.7924	16.8304	17.7115	20.8138	20.4078	25.2496	23.665
Naglu	8.5799	8.16	8.2271	6.2943	6.0443	5.3835	9.0118	8.3966
Smo	12.2332	12.714	10.6501	11.1759	8.7473	7.9032	8.7823	8.6344
Crnkl1	10.3634	10.6982	12.6816	12.4321	16.1986	16.2495	14.6143	15.6158
Chordc1	7.2242	7.6997	5.6897	6.243	6.7968	6.7375	6.3744	7.4615
Rtcb	43.131	42.7549	42.3665	41.8669	42.2118	40.9546	44.9297	42.1889
Pwp1	11.4654	11.1276	12.4525	12.8179	14.0401	14.4802	15.1446	14.8149
Capns1	23.5936	23.3645	20.0213	21.8697	22.6784	21.4198	20.2757	20.5198
Folr1	16.903	14.2959	16.1917	15.1713	15.6138	15.5037	16.5043	15.2941
Sept7	13.8276	14.782	13.0327	14.9758	15.5661	16.6436	13.908	14.4085
Rac1	36.5312	36.2063	35.4006	38.1006	39.0263	39.6006	43.7995	43.8196
Nup214	6.1054	6.2156	6.4828	6.4728	7.2171	7.351	6.7376	6.9368
Ugp2	10.3389	11.1241	10.7732	11.8449	8.8397	9.5485	8.6986	8.0916
Nacc1	21.4061	21.2501	19.096	19.1137	19.5437	19.0294	20.8091	20.6236
Slc1a5	5.858	6.1835	5.5447	4.8082	4.5035	3.8489	4.7513	4.3931
Uba1	46.2843	47.169	45.0332	42.8176	46.0508	45.8825	49.3644	50.6875
Fam50a	20.7175	20.74	18.4225	19.3336	20.4721	18.9833	19.4756	20.5439
Emd	8.916	9.0837	7.5167	7.9603	7.8953	7.3737	9.1126	8.4878
Taco1	8.6419	9.5039	5.373	7.8421	6.4254	5.4279	10.5719	10.8486
Grik3	5.1413	5.8781	5.9196	5.9472	7.0971	6.1055	2.6321	2.7993
Idh3g	8.3095	8.7188	7.2393	7.9098	8.1491	7.8846	7.6967	7.4193
Ssr4	14.5601	13.5833	14.3611	13.3573	11.5922	11.6696	15.9147	14.4543
Bcap31	106.9937	104.9489	100.978	98.3686	99.9238	101.1518	91.0038	89.8501
Fam98a	7.5516	7.4947	10.1599	10.2399	12.2462	12.1489	9.0608	9.261
Supt6	30.3265	29.9278	30.4001	30.9679	39.0707	39.7362	35.0655	35.5086
Spag5	7.4708	6.9544	6.4305	6.6567	5.566	5.411	6.2804	6.379
Sdf2	15.9824	14.4347	13.7267	13.4373	11.3516	11.1272	15.5927	14.2429
Ccne1	20.9194	19.7407	19.4017	19.5387	20.5152	22.7552	16.7054	15.9406
Bbc3	6.6286	6.2605	6.6492	6.4029	7.464	7.9595	4.3873	4.2887
Psmc3	21.3488	20.379	20.6582	21.2844	23.202	23.7218	26.0197	24.7645
Sf3a1	21.9363	21.7581	24.9158	24.7159	29.2887	28.1778	24.9423	25.5286
Stat6	5.8838	5.8119	3.956	4.2323	2.8572	3.0863	3.8104	4.0102
Clgn	16.5474	15.8678	14.121	14.4353	14.3437	14.9369	11.3281	11.0501
Paxip1	11.3027	11.3431	13.7866	13.4992	17.1793	16.8138	13.5198	12.5357
Rmnd5a	11.6698	12.0068	11.6396	12.6431	11.8928	12.4198	10.2779	10.7904
Rhoc	22.1189	22.0148	19.8809	20.0916	20.8663	19.7867	18.4644	17.245
Peg3	28.3827	25.2817	25.3813	24.5161	31.0384	32.0803	32.737	33.8252
Dbf4	7.2476	7.5697	8.6964	9.4942	12.1891	11.9189	6.9811	7.3746
Daxx	6.275	6.4045	5.5341	5.2962	5.6226	5.6091	6.6609	6.1764
Cd320	4.8767	5.1489	4.4898	4.2034	3.3027	2.8031	4.4752	3.7539
Rec8	10.4749	9.8672	7.7768	8.1862	4.7898	4.3365	1.8715	2.0077
Mdp1	6.0835	6.4329	4.8493	5.3843	4.0157	3.3297	8.0343	7.3307
Dhrs1	7.8923	8.0433	5.7004	6.2487	5.0053	5.5555	5.3084	5.6456
Borcs8	4.8448	5.3556	4.1157	4.0783	3.6414	3.0882	4.6582	3.7626
Snx9	22.4674	21.3138	22.1347	20.3324	26.842	27.186	30.8483	29.0608
Ranbp3	6.9368	6.4082	6.5243	6.1956	6.4303	6.6735	6.9017	6.5092
Ndufa11	13.6967	13.2955	13.5035	11.1935	9.2596	9.2611	14.1588	12.169
Dyrk1b	3.0224	2.5525	3.7816	3.6649	5.1583	4.3705	2.4004	2.2169
Braf	4.2461	4.1266	4.8746	4.6611	4.9483	5.699	4.5651	5.1678
Prpf6	13.6135	13.9414	11.3211	11.8946	11.3387	11.7075	12.1762	12.3589
Snrpd1	28.6189	29.4684	26.0008	30.423	33.63	36.8638	29.4227	28.4135
Puf60	14.1873	13.3437	15.4462	15.5744	17.2435	16.4042	16.6563	16.3846
Golga2	5.7203	5.4298	6.0433	6.1944	7.5118	7.3764	5.9341	5.1618
Uck1	5.2003	5.201	4.1655	4.2386	2.5376	2.2921	5.5935	5.7802
Mien1	17.5623	16.9841	18.3226	19.1642	12.3752	13.0374	18.8587	18.4648
Ccdc97	5.6848	5.1342	4.6652	4.9666	5.2458	5.5642	6.8213	6.1868
Pdcd2l	5.5132	5.0344	5.9508	5.5648	5.3891	5.4084	3.7443	3.791
Gtf2f1	57.526	55.8222	48.7765	51.4056	69.1486	65.0506	66.6325	63.5216
Clpp	28.1228	26.022	22.6133	24.0743	22.7836	25.3931	31.6268	30.1295
Med6	7.4847	7.4929	8.8239	7.9698	8.0209	8.4527	8.84	8.2957
Prkd1	4.0091	3.954	3.4176	3.4635	3.0612	3.7453	5.2941	5.0511
Cse1l	15.1676	15.713	15.7925	16.1022	17.2326	17.4972	17.5534	18.827
Naa20	5.6914	6.1611	5.5711	5.5833	3.3997	3.8136	6.1488	6.008
Prkra	8.6552	8.8867	7.4992	7.5983	6.3419	7.0628	7.7059	7.3349
Plekha3	9.3778	10.4231	8.5299	9.9736	10.5338	10.8918	9.8443	10.253
Ykt6	33.7032	33.3681	38.6554	38.7795	40.4705	37.7341	47.6838	46.3251
Baz1b	19.2043	18.6111	17.8418	18.3529	20.391	20.5333	19.7253	20.8897
Pex6	7.0126	6.7262	5.6041	5.3413	3.6399	3.1426	5.5571	4.7834
Mrpl2	12.2216	13.1062	12.0697	11.9068	11.972	10.7092	14.233	12.8112
Kdelr1	44.8181	42.9233	42.2525	42.8855	44.3097	41.5305	42.6441	43.0259
Flii	20.4601	19.8887	18.1458	18.6792	18.8274	19.5563	19.4691	19.6555
Hdgfl2	7.4758	7.1365	6.2856	6.5005	6.3551	6.5797	6.0814	6.3254
Chaf1a	9.9645	9.2887	7.828	8.562	8.8103	8.1962	8.7509	7.982
Adprh	18.2311	18.896	16.8583	15.4202	12.4275	13.1414	17.397	16.1373
Timmdc1	8.0981	8.5649	6.6077	6.4673	6.9903	4.815	8.7338	7.3886
Mcm2	24.1165	24.3848	22.6461	22.8792	23.3328	22.6859	22.4278	22.0825
Lamb1	437.2472	424.8104	445.8583	420.7244	456.9784	469.7779	457.5562	458.9736
Timm44	5.8599	5.8488	4.9818	5.6733	4.4168	4.6848	5.286	5.0572
Ap2a2	72.7458	71.9805	67.6834	66.1081	72.9263	69.8959	75.378	73.3226
Med25	6.1878	5.9501	5.3428	5.1914	5.0675	5.1586	5.5691	5.3417
Bcam	9.4872	10.158	8.8132	9.1187	6.5564	7.1747	7.1577	7.1078
Clptm1	11.5214	11.0872	11.1203	11.2304	11.6873	11.2634	12.7801	12.8419
Tomm40	12.5108	11.1543	11.5949	10.8769	10.6906	9.8074	12.966	12.6632
Apoe	20.6933	25.8622	19.0984	22.0946	21.7304	21.7603	15.4963	17.8343
Hbp1	4.1679	3.9991	5.2949	4.8045	5.2123	5.1079	3.8429	3.6876
Cdkn1b	9.1922	10.0273	5.3026	6.2887	5.1188	4.9369	6.7033	7.4448
Klf4	59.4215	57.5757	60.4825	59.7971	107.738	98.4896	68.3764	66.8182
Ap1m1	7.3551	6.4932	7.1466	6.5135	7.4727	7.3918	8.7004	8.0516
Rab8a	21.9086	22.2184	21.1714	22.2567	25.0458	23.4195	20.107	19.9469
