Ergic1	8.0271	7.7479	7.272	6.8838	6.4133	6.8438	6.3923	6.9556	7.3517	6.5935	6.9238	6.907	5.9262	5.8367	5.9825	6.1635
Ifrd1	4.1726	3.2861	4.9951	4.6145	8.6525	9.5445	8.5419	9.4646	9.8396	9.5346	10.2776	11.2392	6.2387	6.463	6.1436	6.2484
Ddt	7.8898	12.8406	9.987	11.7598	9.3142	10.2737	12.3904	10.6704	9.6595	6.8793	9.0022	10.4639	8.9564	7.0383	8.403	9.4159
Ddx18	15.3006	15.3819	16.6226	16.4185	15.9906	16.5735	16.799	16.3613	12.868	13.092	12.8078	11.7113	19.4218	18.3708	18.2835	18.9746
Ubl3	5.1751	4.9406	5.1307	5.3594	6.3977	5.8197	5.9165	5.9195	6.4848	6.2434	6.1771	6.4974	6.0961	6.0688	5.8397	5.736
Eef1e1	8.1075	7.93	9.1785	9.1192	11.0643	10.394	11.1683	9.9282	10.81	11.1156	11.8952	11.3045	11.5102	12.8589	10.9711	13.1927
Akt1	27.2	28.3395	24.1052	23.4856	24.7402	24.0621	23.1577	24.7653	29.1305	29.871	29.8133	28.3	30.1365	29.7774	30.842	31.6778
Naglu	6.6737	7.1786	5.6815	5.0569	4.9502	4.8816	4.7359	5.0912	4.2875	4.8583	4.6209	4.1422	4.934	4.641	5.4239	5.2241
Smo	20.4152	21.414	18.6824	17.2732	17.1705	17.2188	15.0481	17.3682	14.5626	16.4103	15.1808	14.9112	16.7211	16.6194	16.9985	15.7427
Crnkl1	13.5956	13.5613	15.2207	15.4157	15.7858	15.7612	16.4159	14.0985	17.5055	18.0902	16.4788	18.1165	19.8576	20.2017	23.4272	18.6152
Chordc1	5.0089	5.1053	8.1661	8.6593	5.845	6.749	7.1599	5.9185	5.6644	5.5645	5.9472	6.97	9.2638	8.7968	9.2339	9.1827
Rtcb	41.1741	48.8766	46.0218	46.8273	43.3063	47.4466	49.8203	47.7531	52.9717	48.6877	52.1857	51.9121	51.7189	52.1729	52.3103	49.4144
Pwp1	11.5215	12.8469	13.7075	13.8024	14.1661	14.7342	15.3066	16.641	17.0968	17.1553	18.0755	17.5383	17.17	16.8342	17.7184	17.3874
Capns1	32.987	32.4063	30.0052	29.9475	30.0932	31.0286	32.2257	26.6316	31.9265	32.1892	31.84	29.317	24.0719	25.3195	25.5145	26.0578
Folr1	7.4774	8.3605	7.7289	7.9349	8.1323	7.8398	8.2177	7.7619	8.1208	9.5815	8.8529	8.6316	6.8011	7.2673	6.452	7.4476
Sept7	13.9625	10.242	17.8604	19.2548	15.3289	17.2487	18.1531	15.0353	16.4561	16.5632	16.3792	20.4773	20.6724	20.041	20.2458	20.6753
Rac1	32.8131	34.1131	35.7663	37.4367	34.4349	37.5742	37.966	36.5489	37.2771	38.1151	37.088	38.066	39.2345	42.8627	43.6023	42.7562
Nup214	8.8519	8.9782	7.9406	7.7376	8.6069	8.38	7.6635	7.3374	7.6028	9.617	8.7828	8.0503	7.2326	8.0266	7.8414	8.0504
Ugp2	6.9893	6.5026	10.0051	10.2665	8.0176	9.4913	10.9301	11.1497	10.1355	9.1406	9.4638	12.0553	10.6571	11.5597	12.0655	12.2176
Nacc1	36.4532	33.4317	26.2608	26.5377	27.3286	25.6119	25.0957	26.6016	27.502	28.2198	28.7954	25.0676	24.3693	24.0949	24.8006	24.5672
Slc1a5	6.2292	7.7371	6.4608	6.7037	5.0435	4.882	5.2772	4.8893	5.1293	5.322	5.3846	4.3872	3.8077	3.5109	3.5038	3.8366
Uba1	64.4365	64.8941	58.7237	60.3796	62.4716	60.7271	59.0958	59.9229	67.1917	67.6252	66.0948	62.6772	58.7707	58.8393	59.6075	59.6633
Fam50a	18.0487	18.3973	16.1992	16.3515	16.7588	17.4868	17.1745	15.5744	17.2125	18.4003	16.1214	16.851	16.1853	16.1514	15.1998	17.3302
Emd	11.5311	13.485	13.6886	14.3789	12.4044	12.0984	13.0894	13.3445	12.538	13.2222	14.6373	13.8441	13.3684	13.3043	13.5052	13.2066
Taco1	9.7265	10.074	10.6504	10.0886	5.8495	5.9851	6.2744	7.3018	5.6294	6.4999	5.1217	5.241	12.7264	11.7823	10.5696	11.2067
Grik3	6.6914	7.558	6.2785	6.5658	6.8161	6.6995	6.8799	6.6465	6.2357	6.1612	6.3459	5.4782	4.9179	4.0024	4.1751	4.2849
Idh3g	9.6513	8.7886	8.5182	8.3645	8.591	8.4805	8.8353	8.5403	10.2016	10.0341	9.6971	8.9669	7.8626	6.806	8.0188	7.1065
Ssr4	4.8255	7.1775	7.0029	6.6293	6.1889	5.7616	6.4622	6.4195	7.1878	6.8745	7.0957	5.9046	6.083	6.0584	6.3058	6.6873
Bcap31	79.3544	90.0686	99.2822	95.8744	89.3658	89.8271	88.532	89.0879	92.9899	88.7554	93.7687	86.5627	85.0642	81.73	84.4069	84.6705
Fam98a	5.0248	5.9382	6.6647	7.5615	6.8077	7.0918	7.5048	6.802	8.2584	7.5903	7.9158	8.0729	7.1446	8.0888	8.2239	7.7527
Supt6	37.5845	40.7563	34.9139	35.3712	37.1293	38.438	36.6878	34.6925	38.832	43.5589	42.5697	41.1185	37.743	36.6889	38.556	40.6499
Spag5	8.5913	10.8525	10.0718	10.1511	8.9921	9.4624	8.7266	9.177	8.7845	9.5122	8.8832	7.951	8.1612	7.6652	8.6742	7.7748
Sdf2	13.5895	15.2377	13.4101	11.8437	13.7054	11.9425	11.1888	11.7866	13.159	14.498	11.4818	11.5279	12.6784	12.4804	13.2616	11.5975
Ccne1	22.9688	26.6033	23.3045	23.2496	20.5262	21.3608	19.5822	20.4115	18.0174	19.8319	19.0779	16.7891	14.648	13.268	14.1313	13.8297
Bbc3	33.5394	27.6558	20.7663	20.0619	25.7279	24.9064	25.9952	22.405	16.3511	19.1597	16.8558	16.9981	14.025	14.7188	13.2537	14.6783
Psmc3	25.7498	27.1733	22.6269	23.0822	25.3906	25.2845	24.5829	24.0402	27.784	29.9461	27.0298	25.1689	25.7377	24.0426	24.8086	23.7446
Sf3a1	32.0734	33.9221	28.163	29.5726	31.6997	30.5984	31.4083	29.6055	35.4144	38.1266	36.1705	32.5108	29.3244	30.3984	29.8676	30.5791
Stat6	5.0923	4.5672	4.5232	4.7341	3.5876	3.7408	3.0634	2.5871	2.1625	2.7683	2.8039	2.4836	3.0721	2.8264	3.111	3.061
Clgn	4.8814	5.1469	5.4403	6.2047	4.6731	4.9821	5.0998	3.9442	4.6137	5.2022	4.2726	4.7376	3.7405	3.3921	3.0862	3.8863
Paxip1	6.8123	7.1326	6.6734	6.8685	8.5814	7.0914	7.4323	7.3754	8.3668	8.3959	7.7996	7.2068	6.4743	5.9267	6.1213	6.6348
Rmnd5a	10.3323	10.3172	13.5456	13.8213	12.116	12.1043	13.4353	12.4773	10.838	11.0756	12.1638	13.1918	12.8282	12.0134	13.1206	11.4472
Rhoc	36.1994	35.8849	29.1631	30.6009	29.7283	31.3535	28.5124	28.1111	33.4789	32.1749	31.1225	30.8308	22.5899	22.8943	23.1282	23.8004
Peg3	114.6718	108.7243	112.1906	106.5253	89.195	96.7716	86.2766	92.0555	80.1444	92.4753	96.4416	102.1032	109.5785	104.1976	106.2347	106.7096
Dbf4	7.0719	6.4289	8.2776	8.2061	8.9599	9.8092	9.8585	9.05	10.0191	9.5959	9.9521	9.984	8.3946	8.0624	8.5143	7.4916
Daxx	7.1577	8.274	6.4568	6.6084	5.787	5.5411	5.7028	5.5431	5.8756	6.5653	6.0415	5.9593	5.4497	5.9676	5.8193	5.6922
Cd320	5.4945	6.5823	5.4623	4.8232	5.4147	4.7014	4.2768	5.3333	4.9097	5.4588	4.1669	4.0132	4.4351	4.4171	4.9333	4.6124
